Image_Index,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49,node_50,node_51,node_52,node_53,node_54,node_55,node_56,node_57,node_58,node_59,node_60,node_61,node_62,node_63
3,0.0,1.6069334,2.011249,0.0,1.6855136,0.0,0.59892017,1.6321267,0.0,0.0,0.0,0.0,1.0206126,2.0838327,0.22374949,0.8044083,0.0,1.6389711,2.1054797,0.14919688,1.8051974,0.26517946,1.1669984,1.6724017,0.0,0.0,0.0,0.68984777,0.16759843,0.0,0.0,1.9852525,0.0,1.5467597,0.759026,0.27297267,2.105614,0.7019516,0.0,1.5004668,3.1737595,0.083562575,0.15532564,0.0,0.0,1.4492527,1.0904613,0.25932166,1.8053732,0.0,3.2526438,0.0,0.0,0.47113192,0.0,1.511594,3.0769036,0.124408595,1.679846,0.0,0.6216786,0.0,0.67153996,1.5464284
10,0.0,2.2918034,1.8319503,0.0,1.203266,0.0,0.6198249,1.8592538,0.20980354,0.0,0.0,0.0,1.3796209,2.074281,0.49731678,0.23422131,0.0,2.0126452,2.5564175,0.0,2.1618102,0.0,1.4398862,2.3613071,0.36141145,0.0,0.0,1.087329,1.3886932,0.0,0.0,2.3993156,0.0,0.7388976,0.7417446,0.0,2.5836463,0.35582376,0.0,1.0479895,3.7489333,0.016830582,0.0,0.0,0.0,1.573567,1.2793206,0.6426648,2.1803198,0.0,3.766584,0.0,0.0,0.8982434,0.0,1.4664233,3.0549295,0.01493494,2.069439,0.0,0.0,0.0,0.4094613,1.5471563
13,0.0,2.0636039,2.069119,0.0,1.1197959,0.0,0.17655793,1.9850832,0.20366925,0.0,0.0,0.0,1.303886,2.5016303,0.15006548,0.48529708,0.0,2.0492122,2.3545408,0.0,2.2186375,0.010923937,1.1663669,2.3046155,0.2973848,0.0,0.0,0.7597163,0.9742834,0.0,0.0,2.1009545,0.0,1.1375113,0.55608594,0.10311831,2.2139833,0.21778965,0.0,1.4935887,3.6570466,0.023794934,0.0,0.0,0.0,1.7830831,0.9029557,0.91239953,2.2934532,0.0,3.7331522,0.0,0.0,0.34778047,0.0,1.2953998,3.5140965,0.0,2.069472,0.0,0.00718154,0.0,0.7510736,1.8396512
25,0.0,2.0458107,1.4209899,0.0,2.4112062,0.0,0.84923935,0.9983546,0.0,0.0,0.0,0.0,1.2334217,1.8064644,0.0,1.0681726,0.0,2.2666745,3.174589,0.0,1.52389,0.0,0.9435698,2.034997,0.3616866,0.0,0.0,0.5514967,0.0,0.0,0.0,2.2629268,0.0,1.2302172,0.7979214,0.4409865,3.0348523,0.7820765,0.0,2.1175141,3.5387328,0.0,0.3803626,0.0,0.0,2.2715442,0.6597448,0.7033498,1.9442489,0.0,4.070287,0.0,0.0,0.0,0.0,1.6121216,3.7408924,0.42702687,2.467911,0.0,0.18300512,0.0,0.5140367,1.8170409
28,0.0,2.2103617,2.2742045,0.0,1.0441802,0.0,0.0,2.0145812,0.0,0.0,0.0,0.0,1.2221048,2.7282174,0.13588439,0.13107374,0.0,1.8305082,2.0731866,0.0,2.4642355,0.011063337,1.0901462,2.147427,0.0,0.0,0.0,0.746432,0.84812206,0.0,0.0,2.0397432,0.0,1.4295301,0.5003017,0.0,2.3416333,0.39269024,0.0,1.4882005,4.011865,0.0,0.0,0.0,0.0,2.0175042,0.55254537,0.93654114,2.287692,0.0,3.5227716,0.0,0.0,0.4557224,0.0,1.537646,3.7753384,0.0,2.1346378,0.0,0.049325712,0.0,1.1866714,1.4769244
55,0.0,1.9809828,1.6634635,0.0,0.86565226,0.0,0.030039083,1.9247998,0.20771965,0.44509977,0.0,0.0,1.425423,2.072324,0.69399226,0.0,0.0,2.4534955,1.7473065,0.0,2.341364,0.8605587,0.79682386,2.325355,0.9516738,0.00072879717,0.0,0.70442533,1.6932992,0.0,0.0,1.8709526,0.0,1.5875456,0.42082945,0.32622275,1.7032942,0.059078217,0.0,1.0618186,3.3103127,0.0,0.0,0.0,0.0,1.4726753,1.6233455,1.2952045,1.9009445,0.31122527,3.1824193,0.0,0.0,0.33433276,0.0,1.214436,2.4857728,0.025992071,1.8163366,0.0,0.55373096,0.0,0.8734518,1.4149419
69,0.0,1.8418617,2.1359456,0.0,1.4969956,0.0,0.9937799,2.0076826,0.29626065,0.0,0.0,0.0,1.0948256,1.8948286,0.18432063,0.7020144,0.0,1.7462262,2.167074,0.0,1.765054,0.28991386,1.4064996,1.7826719,0.15959811,0.0,0.0,0.7096636,0.71120095,0.0,0.0,2.083453,0.0,0.789987,0.8475362,0.2252666,2.099099,0.6907942,0.0,1.210722,3.258394,0.2141169,0.0,0.0,0.0,1.3417192,1.1790522,0.15990983,1.7085037,0.0,3.6556554,0.0,0.0,0.51822424,0.0,1.2770034,2.95856,0.18133298,1.7156539,0.0,0.097791746,0.0,0.45931876,1.8237646
71,0.0,2.3758895,2.0321503,0.0,1.6074224,0.0,0.65932846,2.026143,0.0,0.0,0.0,0.0,1.4338928,2.3699546,0.0,0.4123361,0.0,2.2060142,2.8796952,0.0,2.0343149,0.0,1.4471167,2.5350077,0.30483258,0.0,0.0,1.0067099,0.9360209,0.0,0.0,2.5212402,0.0,0.8447016,0.8868597,0.0,3.0101948,0.41978166,0.0,1.7032307,4.06989,0.19650602,0.0,0.0,0.0,1.8526145,0.9651605,0.71612084,1.8716971,0.0,4.157773,0.0,0.0,0.28177541,0.0,1.5628808,3.741329,0.11466293,2.297547,0.0,0.0,0.0,0.36975998,1.9089795
101,0.06349695,2.4409256,1.6800432,0.0,1.3616978,0.0,0.4863537,1.6334529,0.0,0.0,0.0,0.0,1.4816986,1.9987675,0.025269158,0.12885483,0.0,2.5249474,2.8798015,0.0,2.2397418,0.0,1.1211772,2.5573957,0.53726166,0.0,0.0,0.8453116,1.222673,0.0,0.0,2.523693,0.0,1.1324617,0.4566069,0.036304064,2.991933,0.3136593,0.0,1.4514754,4.057413,0.0,0.0,0.0,0.0,1.8577021,0.89829516,0.8340418,1.7435125,0.0,4.0499353,0.0,0.0,0.47381634,0.0,1.6724644,3.4231334,0.09207518,2.3385677,0.0,0.0,0.0,0.54063743,1.6032791
126,0.0,1.2417552,1.7932948,0.0,1.1396183,0.0,0.49240977,2.0950117,0.36470854,0.035185117,0.0,0.0,1.2248569,2.348748,0.8458292,0.70823103,0.0,1.4812251,1.7481247,0.0,1.8274292,0.4825406,1.2191316,1.849019,0.21089152,0.0,0.0,0.82729834,0.97036403,0.0,0.0,1.9179783,0.0,0.88574517,1.1704197,0.09169016,1.5236117,0.3909674,0.0,1.1700549,2.8358493,0.02927459,0.0,0.0,0.0,1.2249379,1.6795765,0.81309325,1.8455062,0.24661611,2.9626403,0.0,0.0,0.5047134,0.0,1.3114041,2.3403544,0.106214516,1.396892,0.0,0.7202599,0.0,0.5667166,1.7357861
