Image_Index,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49,node_50,node_51,node_52,node_53,node_54,node_55,node_56,node_57,node_58,node_59,node_60,node_61,node_62,node_63,node_64,node_65,node_66,node_67,node_68,node_69,node_70,node_71,node_72,node_73,node_74,node_75,node_76,node_77,node_78,node_79,node_80,node_81,node_82,node_83,node_84,node_85,node_86,node_87,node_88,node_89,node_90,node_91,node_92,node_93,node_94,node_95,node_96,node_97,node_98,node_99,node_100,node_101,node_102,node_103,node_104,node_105,node_106,node_107,node_108,node_109,node_110,node_111,node_112,node_113,node_114,node_115,node_116,node_117,node_118,node_119,node_120,node_121,node_122,node_123,node_124,node_125,node_126,node_127,node_128,node_129,node_130,node_131,node_132,node_133,node_134,node_135,node_136,node_137,node_138,node_139,node_140,node_141,node_142,node_143,node_144,node_145,node_146,node_147,node_148,node_149,node_150,node_151,node_152,node_153,node_154,node_155,node_156,node_157,node_158,node_159,node_160,node_161,node_162,node_163,node_164,node_165,node_166,node_167,node_168,node_169,node_170,node_171,node_172,node_173,node_174,node_175,node_176,node_177,node_178,node_179,node_180,node_181,node_182,node_183,node_184,node_185,node_186,node_187,node_188,node_189,node_190,node_191,node_192,node_193,node_194,node_195
18,0.3310541,0.3842315,0.64282775,0.0,0.67601806,0.59969866,0.30196604,0.7333283,0.0,0.032070328,0.0,0.5777984,0.36253923,0.0,0.3651163,0.08469404,0.15793838,0.20385116,0.4385237,0.8815098,0.0,0.0,0.0,0.019891342,0.53618664,0.59553885,0.3491494,0.8540388,0.0,0.0,0.23966277,0.31431577,0.09281604,0.6757838,0.0,0.23067963,0.5063222,0.0,0.0,0.0,0.499329,0.0,0.2571243,0.0,0.0,0.029281128,0.49189356,0.3444232,0.0,0.0,0.38770962,0.537894,0.37258983,0.5350413,0.59817696,0.678262,0.29331973,0.4218404,0.48850572,0.4015549,0.21129318,0.0,0.655324,0.0,0.0,0.2681175,0.09169951,0.0,0.027776374,0.64761525,0.30701,0.0,0.0,1.0513592,0.05698014,0.057593018,0.014947467,0.0,0.5689761,0.0,0.6833776,0.0,0.37327904,0.28450957,0.33296216,0.0,0.0,0.26284492,0.708991,0.6392736,0.085649356,0.0,0.0,0.17674522,0.28193325,0.0,0.0,0.19505416,0.634139,0.57972646,0.36618116,0.7351382,0.5140038,0.5969963,1.1178899,1.040308,0.57460785,0.093945555,0.0,0.6647839,0.30991042,0.0,0.3261881,0.2609875,0.5728359,0.41839874,0.37127104,0.0,0.0,0.31439742,0.19277732,0.0,0.15219134,0.0,0.2693492,0.5293219,0.16411391,0.18653305,0.0,0.53258014,0.0,0.4572554,0.047248453,0.3318242,0.46241236,0.0,0.5279562,0.0,0.37002212,0.11866499,0.7435928,0.27942356,0.44184348,0.5863124,0.34451708,0.31832585,0.0,0.5092773,0.0,0.2986797,0.017628567,0.24455792,0.0,0.34880295,0.0,0.75011325,0.83031803,0.33460218,0.9502834,0.38014257,0.11339974,0.42618918,0.01619124,0.0,0.0,0.0,0.034708567,0.75196594,0.0,0.011086218,0.12006505,0.0,0.124520026,0.0,0.0,0.037346102,0.65946954,0.58589476,0.48212996,0.0,0.15600136,0.34198743,0.23846821,0.0,0.0,0.17954688,0.19031209,0.17298843,0.0,0.0,0.0,0.0,0.68097717,0.5630878,0.0,0.0
30,0.25114954,0.71425813,0.57343566,0.0,0.45099962,0.5055489,0.10920487,0.7242349,0.093147606,0.025420776,0.0,0.9533978,0.19821873,0.034946553,0.3900677,0.42291948,0.012704337,0.9803356,0.8106475,0.91363084,0.0,0.0,0.0,0.0,0.27755523,0.7322911,0.14198531,0.98647994,0.0,0.101173304,0.38695073,0.30145717,0.23070052,0.43298554,0.017178029,0.31655258,0.39562598,0.015801733,0.0,0.0,0.8262188,0.0,0.28002495,0.0,0.0,0.0,0.5147262,0.39174712,0.0,0.0,0.32346433,0.32621828,0.1177257,0.20659378,0.05185363,1.0421263,0.37232822,0.49022934,0.47508186,0.75211316,0.21184683,0.0,0.74157035,0.03463048,0.018473592,0.44631135,0.55772144,0.0,0.053228833,0.37932777,0.609109,0.17487252,0.0,0.7027907,0.03260948,0.3830396,0.0011696741,0.0,0.66693777,0.0,1.0114127,0.0,0.0,0.34567338,0.33546183,0.0,0.012494817,0.22996601,0.76236284,0.3675745,0.097867,0.0,0.0,0.30335838,0.49177554,0.0,0.0,0.38410488,0.73961574,0.8306052,0.44405743,0.7491457,0.6659892,0.5681778,1.7552915,1.1260912,0.23169003,0.0,0.0,0.5110453,0.032246083,0.0,0.3560984,0.46818045,0.554032,0.23733719,0.7098689,0.0,0.0,0.13691315,0.07812404,0.0,0.0,0.0,0.07040935,0.0,0.18302774,0.17177269,0.0,0.54703456,0.0,0.6252783,0.27072614,0.23802698,0.43536192,0.0,0.6230497,0.0,0.3032058,0.0,0.5573677,0.23019701,0.73322093,0.47709125,0.14899664,0.0,0.0,0.4143804,0.21671443,0.4121317,0.25593185,0.57480645,0.0,0.47231352,0.0,0.78441,0.9297696,0.14612882,1.0191289,0.44370535,0.043226264,0.22212368,0.30375415,0.23058717,0.0,0.48739758,0.29315868,0.52885824,0.0,0.15539348,0.10653109,0.0,0.19478054,0.0,0.0,0.0,0.328066,0.6231449,0.0,0.0,0.2498948,0.77485836,0.0,0.0,0.0,0.28644788,0.23014976,0.0,0.0,0.0,0.0,0.0,0.5373883,0.34556043,0.0,0.0
32,0.26575473,0.76174337,0.61255467,0.0,0.6357494,0.564222,0.23565364,0.99029756,0.119224265,0.0,0.0,0.96272624,0.21545944,0.08678189,0.15259442,0.42821044,0.0,0.6709274,1.0311744,0.7766662,0.0,0.0,0.0,0.10511529,0.6123239,0.6450536,0.0,0.96203715,0.0,0.0,0.37985763,0.4394988,0.15756108,0.49549305,0.0,0.1517877,0.25951868,0.0,0.0,0.0,0.4329527,0.0,0.08166589,0.0,0.021870963,0.0,0.8562814,0.5483779,0.0,0.0,0.63761467,0.28270993,0.0,0.4364644,0.2513122,0.822311,0.17387837,0.6882629,0.5786262,0.8216538,0.30813855,0.0,0.85662353,0.0,0.0,0.45451337,0.55717915,0.0,0.22637215,0.68348,0.5278034,0.0,0.0,0.8343819,0.0,0.5002743,0.12639064,0.0,0.84368795,0.0,0.9123622,0.09181279,0.0,0.41059688,0.41443056,0.0,0.04109829,0.41215292,1.0294577,0.718201,0.10763596,0.0,0.0,0.3888571,0.09274055,0.0,0.0,0.18276156,0.8616753,0.8808959,0.60600615,0.60568905,1.0026686,0.36217907,1.6373941,1.4072732,0.25174138,0.19917375,0.0,0.9199204,0.3508306,0.04748579,0.37870646,0.64762026,0.37005723,0.35499948,0.64068776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013944615,0.22387528,0.02544055,0.2747497,0.0,0.70692897,0.0,0.8840743,0.5922583,0.32774574,0.29956946,0.0,0.9960806,0.0,0.39103293,0.12404857,0.51114,0.32007024,0.49040386,0.63332605,0.3488696,0.042663403,0.0,0.33440116,0.0,0.26288483,0.1995982,0.4908763,0.0,0.20503326,0.0,0.7628185,1.0407716,0.4002256,1.0553629,0.515307,0.0,0.038748577,0.07300856,0.06434967,0.0,0.37907657,0.298709,0.41836756,0.0,0.14879729,0.026371282,0.0,0.3921441,0.0,0.0,0.0,0.6540166,0.62006235,0.0,0.0,0.009662361,0.58109564,0.023519294,0.0,0.0,0.19227083,0.21457759,0.14596422,0.0,0.0,0.0,0.0,1.0487208,0.5537626,0.0,0.0
44,0.10126336,0.55311656,0.3296767,0.0,0.6205619,0.41421726,0.14889593,0.6719572,0.0,0.16529185,0.0,0.6474516,0.18244827,0.08382911,0.25256416,0.036008477,0.0,0.67278785,0.68949383,0.86105514,0.0005299068,0.0,0.0,0.0,0.72864914,0.97475475,0.24350594,0.89688116,0.0,0.0,0.34535214,0.30251625,0.16277811,0.58558106,0.0,0.33496904,0.52897114,0.07032446,0.0,0.0,0.53998184,0.0,0.090572216,0.0,0.0,0.0,0.3075364,0.4179132,0.0,0.0,0.33544427,0.40117544,0.08790159,0.015423235,0.32158068,0.62164825,0.47109786,0.6053486,0.38160974,0.55718255,0.3878627,0.0,0.9589582,0.0,0.0,0.09304099,0.46735442,0.0,0.0,0.58728415,0.5603688,0.0,0.0,0.9564434,0.0,0.20059852,0.0,0.0,0.4950606,0.0,0.97937846,0.0,0.10833682,0.21429123,0.26140964,0.0,0.0,0.21619187,0.7312089,0.39699447,0.10479911,0.12414077,0.0,0.26710314,0.3511272,0.0,0.0,0.6121019,1.0116392,0.58568513,0.32938915,0.6999566,0.4788648,0.45560467,1.3531597,0.94143355,0.15410587,0.0,0.0,0.42035437,0.14328064,0.0,0.043026213,0.5477312,0.39859802,0.22630528,0.56780005,0.0,0.0,0.29404113,0.0,0.0,0.0028782827,0.0,0.19194958,0.12846944,0.14592673,0.16862614,0.04649907,0.67891514,0.0,0.5764849,0.37428343,0.2264123,0.6642799,0.032972664,0.39791158,0.0,0.17537089,0.0,0.7125455,0.085824385,0.5621929,0.47199225,0.23705816,0.0,0.0,0.37981778,0.0,0.31717432,0.28756884,0.55087435,0.0,0.37820724,0.0,0.5915112,0.8891713,0.19870555,0.7338028,0.415407,0.0,0.41829118,0.31759983,0.0018860046,0.0,0.29111737,0.18374161,0.54648525,0.0,0.13678072,0.14577092,0.0,0.15270787,0.0,0.0,0.0,0.3924456,0.488528,0.3424619,0.0,0.15829474,0.36464745,0.12523484,0.0,0.0,0.2327762,0.011978779,0.0,0.0,0.0,0.0,0.0,0.46839172,0.47710133,0.0,0.0
51,0.2249485,0.84386307,0.6208835,0.0,0.53865033,0.40253007,0.28589803,0.53498924,0.0,0.0,0.0,0.79816943,0.19961748,0.08468788,0.2728985,0.22529209,0.0,0.5775764,0.7447005,0.8237071,0.0,0.0,0.0,0.0037368273,0.591823,0.6060675,0.13306466,1.0996277,0.0,0.073103815,0.33660674,0.276299,0.04928482,0.58251005,0.0,0.2763629,0.4778116,0.0,0.0,0.0,0.82798153,0.0,0.0,0.0,0.0,0.0,0.5115539,0.39801046,0.0,0.03576248,0.38774437,0.4604845,0.2818833,0.39519134,0.25026077,0.8213304,0.23817836,0.5634125,0.32757586,0.5935758,0.060673438,0.0,0.8001262,0.0,0.0,0.46709132,0.5082018,0.0,0.0,0.64985746,0.44305107,0.0,0.0,0.66109663,0.18764435,0.29559463,0.14407086,0.0,0.42244565,0.0,1.0448684,0.0026229662,0.022350714,0.2731881,0.32799634,0.0,0.0,0.28268513,0.8359385,0.7617915,0.0,0.0,0.0,0.29704496,0.2176755,0.0,0.0,0.020436013,0.6994612,0.7941852,0.36401147,0.6394206,0.69829214,0.550514,1.394579,1.3473783,0.3923088,0.0,0.0,0.8150761,0.26359144,0.0002479148,0.2500965,0.7021244,0.44748038,0.4068058,0.38804108,0.0,0.0,0.0,0.25184166,0.0,0.0,0.0,0.2787436,0.28364858,0.21037386,0.31614202,0.0,0.6954096,0.022957154,0.5246746,0.33711183,0.39713702,0.21328413,0.0,0.7067966,0.0,0.24839331,0.0,0.4964328,0.1619514,0.32893488,0.71535844,0.18649502,0.0,0.0,0.36151794,0.122141235,0.17269176,0.0,0.26652026,0.0,0.55359286,0.0,1.0065562,0.9720995,0.32602197,1.2519318,0.4961722,0.0,0.33656886,0.031896174,0.05288755,0.0,0.17349985,0.26697,0.6211685,0.0,0.025037155,0.0,0.0,0.23117147,0.0,0.05114768,0.050133355,0.6141091,0.5579127,0.23497489,0.0,0.04992789,0.53281325,0.0041038767,0.0,0.0,0.32054186,0.114831045,0.0,0.0,0.0,0.0,0.0,0.83204293,0.40657857,0.0,0.0
63,0.34470257,0.47134203,0.40351844,0.0,0.767455,0.10905256,0.3056585,0.92045337,0.0,0.006360518,0.0,0.6127194,0.16964468,0.0,0.73052615,0.067385584,0.0,0.51963186,0.6202373,1.0464035,0.0,0.0,0.04095428,0.0,0.4014286,0.58954996,0.04708428,1.3034436,0.0,0.0,0.3752466,0.37970385,0.0,0.6618595,0.0,0.101385646,0.028326117,0.106750876,0.0,0.0,0.3630241,0.0,0.45873117,0.02527369,0.20934846,0.20848995,0.4949836,0.68987805,0.3144612,0.0,0.62017065,0.8652387,0.0,0.5857217,0.45863083,0.6150725,0.46327147,0.21573201,0.0,0.9125309,0.56289,0.0,0.74508905,0.24758594,0.0,0.6276554,0.38832426,0.0,0.1877104,0.7827947,0.4468319,0.28365314,0.0,0.9374451,0.11431791,0.57726824,0.0,0.0,0.75072545,0.0,0.53899944,0.0,0.5652563,0.14749432,0.18465771,0.0,0.022723557,0.5234153,0.6097807,0.3331416,0.015525321,0.0,0.0,0.0,0.18865147,0.0,0.0,0.7090379,0.6145088,0.42134318,0.79613036,0.86102456,0.4711203,0.79936653,1.52549,0.66940296,0.42478922,0.0,0.0,0.6509388,0.28396982,0.16146895,0.15028235,0.2580806,0.045307428,0.37483397,0.6401604,0.0,0.0,0.60275966,0.6186953,0.0,0.0,0.0,0.15474305,0.11376508,0.027662495,0.20892632,0.0,0.7580148,0.0,0.25049645,0.18476875,0.18252641,0.735205,0.044652134,0.30398706,0.031421207,0.16274734,0.25299823,0.6790454,0.16243622,0.329685,0.63488466,0.25913283,0.0125712305,0.0,0.35098302,0.445514,0.31309292,0.68728197,0.8615411,0.0,0.44376615,0.0,0.07751349,0.9812756,0.20339786,0.7043716,0.15371598,0.0,0.20680462,0.17640792,0.20017634,0.0,0.062371247,0.3106478,0.90123814,0.0,0.13867912,0.37126657,0.0,0.0,0.0,0.0,0.57458293,0.2043692,0.59886116,0.06914398,0.0,0.14087963,0.49926493,0.37539446,0.0,0.0,0.17201178,0.04474252,0.0,0.0,0.0,0.0,0.0,0.72228885,0.041298937,0.0,0.0
68,0.30586943,0.87346125,0.47640762,0.0,0.55324674,0.48138413,0.27684444,0.8050594,0.111765526,0.0,0.0,0.95912427,0.1755299,0.06286521,0.38668585,0.4875795,0.0,0.9159154,0.88413566,0.94744986,0.0,0.0,0.0,0.0,0.33598843,0.67863315,0.17246635,1.0766679,0.0,0.055096604,0.4801834,0.39162934,0.25954643,0.54925036,0.0,0.124261245,0.3362429,0.033229105,0.0,0.0,0.713745,0.0,0.20445086,0.0,0.0818381,0.03769048,0.66464436,0.549644,0.0,0.0,0.57624495,0.551367,0.053780094,0.51816726,0.2535351,0.9504718,0.3923074,0.40513602,0.5396803,0.86225945,0.21252473,0.0,0.80011356,0.10077486,0.0,0.69728357,0.5126441,0.0,0.32597718,0.54506165,0.628132,0.09957846,0.0,0.7930724,0.17549597,0.45011523,0.17573601,0.0,0.81029886,0.0,1.0032142,0.111243,0.33572635,0.40487087,0.26405314,0.0,0.0,0.38707045,0.7989083,0.74006164,0.0,0.0,0.0,0.21996506,0.29007128,0.0,0.0,0.42546645,0.9025103,0.85656244,0.6382196,0.6568331,0.78893393,0.5294701,1.7419192,1.1814302,0.34806913,0.061079893,0.0,0.77625394,0.23084874,0.0,0.31187984,0.48568976,0.43844354,0.478467,0.77820814,0.0,0.0,0.17659816,0.060727663,0.0,0.0,0.0,0.0,0.25464842,0.14828621,0.21197739,0.0,0.63382095,0.0,0.78170276,0.37356785,0.33646244,0.31834045,0.0,0.74657047,0.0,0.30834162,0.11717336,0.5748422,0.31768548,0.5386145,0.56829464,0.28488737,0.0,0.0,0.39711478,0.17342,0.2941603,0.31711322,0.73473763,0.0,0.3769632,0.0,0.76881844,1.1503766,0.3402938,1.0451862,0.55600756,0.0,0.16835107,0.122252636,0.22005124,0.0,0.4891557,0.4352288,0.5191166,0.0,0.23312628,0.0022544153,0.0,0.12316909,0.0,0.0,0.13113245,0.50960153,0.75131977,0.0,0.0,0.014448586,0.607205,0.0,0.0,0.0,0.22528471,0.34284136,0.05961916,0.0,0.0,0.0,0.0,0.8732093,0.39604193,0.0,0.0
76,0.26259866,0.60818905,0.3745684,0.0,0.80092543,0.3927223,0.13499561,0.92154634,0.0,0.0,0.0,0.7731715,0.33005968,0.0064980965,0.030493872,0.4268754,0.0,0.9543146,0.79127747,0.97544897,0.0,0.0,0.0,0.0,0.36223856,0.7906056,0.0110720545,0.82667494,0.0,0.0,0.42233524,0.38714114,0.18066077,0.7627287,0.0,0.38291436,0.15366317,0.0067522735,0.0,0.0,0.4091192,0.0,0.46757197,0.0,0.18014337,0.18989858,0.83546716,0.52478135,0.0,0.0,0.66255766,0.2483118,0.0,0.30643898,0.39072737,1.0384016,0.12755266,0.30023092,0.36293954,0.8152091,0.23050156,0.0,0.5940799,0.12938583,0.0,0.42175862,0.6412107,0.0,0.0,0.831404,0.49907416,0.04283031,0.0,0.754708,0.0,0.3855012,0.0061015747,0.0,0.7931082,0.0,0.54259324,0.0,0.115987405,0.6585096,0.21060866,0.0,0.029493501,0.3954914,0.7542382,0.45016322,0.0,0.0,0.0,0.16450356,0.19419426,0.0,0.0,0.25962016,0.6322574,0.77069813,0.5169356,0.44584656,0.7500843,0.2932226,1.4113753,0.9667664,0.0,0.0,0.0,0.9797916,0.024172733,0.0,0.46866685,0.6919516,0.2947988,0.323979,0.6964554,0.0,0.0,0.16088194,0.0,0.0,0.0,0.0,0.0,0.16935499,0.0,0.30689982,0.0,0.6275854,0.0,0.6089028,0.48075908,0.11474786,0.24180853,0.011281367,0.9500903,0.0,0.3090279,0.20278856,0.54005706,0.32452187,0.55903083,0.49786055,0.25412032,0.0,0.0,0.45972425,0.20442185,0.2927169,0.49541646,0.6614938,0.0,0.23505008,0.0,0.6755665,1.0394006,0.11648603,1.0998632,0.28919813,0.0,0.0935711,0.09602694,0.30097985,0.0,0.33892167,0.26598555,0.45637932,0.0,0.22108006,0.10588087,0.0,0.1069367,0.10637527,0.0,0.24895805,0.23189698,0.4059954,0.0,0.0,0.0,0.6654035,0.110483535,0.0,0.0,0.21047154,0.08114955,0.0,0.0,0.0,0.0,0.0,0.77450925,0.38153827,0.0,0.0
87,0.0,0.8899065,0.39350328,0.0,0.29784423,0.29459694,0.23825236,0.56832796,0.08447826,0.23162225,0.0,0.71446484,0.24303812,0.11644064,0.35697836,0.06478359,0.1336822,0.62730443,0.6984443,0.42526555,0.035611562,0.0,0.0,0.10141542,0.7083901,0.849824,0.23569751,0.9088834,0.0,0.0,0.31992787,0.52160454,0.16539438,0.33933324,0.155479,0.58075184,0.5056616,0.0,0.0,0.0,0.8931983,0.0,0.0,0.0,0.0,0.0,0.524058,0.4951771,0.0,0.0,0.3249661,0.36345643,0.11926749,0.12911233,0.3480884,0.6976478,0.42372134,0.79802495,0.41095054,0.45091882,0.20346732,0.0,1.1301601,0.0,0.0,0.22676468,0.64517766,0.0,0.1617204,0.460054,0.757102,0.13795516,0.0,0.9182885,0.0,0.32649258,0.0,0.0,0.39030987,0.0,1.6010206,0.3984379,0.0,0.2278145,0.14518693,0.0,0.10946462,0.24778119,0.914476,0.4785079,0.014214274,0.0,0.0,0.34770596,0.30910766,0.0,0.0,0.59494317,1.1319178,0.8491467,0.093957886,0.7955971,0.6654409,0.5359719,1.8248723,1.2161766,0.034654986,0.016805504,0.0,0.5402658,0.5429586,0.08055499,0.0,0.71237785,0.6618209,0.3157466,0.47109038,0.0,0.0,0.0,0.13307057,0.0,0.0,0.0,0.24423689,0.10500565,0.3029384,0.35871494,0.0,0.56973356,0.0,0.79711235,0.7025994,0.5567171,0.17924845,0.0,0.37022814,0.0,0.31763208,0.0,0.7067852,0.0,0.6779091,0.607593,0.23241931,0.0,0.0,0.3172392,0.0,0.40353906,0.13439953,0.42014205,0.0,0.40537572,0.0,1.1097872,0.78499746,0.48274875,0.8675325,0.6542474,0.0,0.44438052,0.1542285,0.0,0.16476078,0.46635893,0.30468795,0.5274797,0.0,0.0,0.0,0.0,0.45640147,0.13774769,0.0,0.0,0.8186446,0.4922423,0.38951394,0.0,0.32396832,0.5268628,0.0,0.0,0.0,0.6107601,0.3282303,0.0,0.0,0.0,0.0,0.0,0.6962544,0.4095932,0.0,0.0
90,0.23197384,0.6772278,0.3713195,0.0,0.63609284,0.33536693,0.13547361,0.8951718,0.0,0.0,0.0,0.88310367,0.2472226,0.0,0.1779584,0.45164132,0.0,0.91894156,0.74515337,1.003385,0.0,0.0,0.0,0.0,0.24483831,0.62528616,0.13101193,0.93177825,0.0,0.0,0.5097674,0.41434303,0.0,0.61345464,0.0,0.22866178,0.24075732,0.0,0.0,0.0,0.50525445,0.0,0.51832795,0.0,0.21446684,0.26854897,0.5403628,0.3464386,0.027696593,0.0,0.45685068,0.396189,0.041791413,0.59460485,0.38654554,0.9584955,0.25795078,0.28045273,0.36182672,0.87965614,0.046346016,0.0,0.5824802,0.28175712,0.0,0.59325236,0.5833358,0.0,0.018267812,0.65204114,0.57461405,0.22504926,0.0,0.6992662,0.032636166,0.43480116,0.066505805,0.0,0.7947709,0.0,0.5150362,0.0,0.19471726,0.5558954,0.19729993,0.0,0.0,0.47081897,0.6551289,0.4632746,0.0,0.0,0.0,0.04581145,0.12184106,0.0,0.0,0.17118163,0.49853975,0.6716284,0.6083933,0.35527322,0.9108577,0.26487425,1.5797458,1.121588,0.14150822,0.0,0.0,0.93241435,0.0,0.01646239,0.5744393,0.55972564,0.31181234,0.5380044,0.7815788,0.0,0.0,0.24516106,0.20029281,0.0,0.0,0.0,0.0,0.21259293,0.21231015,0.22411701,0.0,0.6512421,0.0,0.50174105,0.43592957,0.260761,0.20196754,0.0,0.696662,0.0,0.27507886,0.26307085,0.40238357,0.3174609,0.43542925,0.6083296,0.22577913,0.0,0.0,0.43651932,0.34440398,0.39705002,0.35428396,0.5607445,0.0,0.35892552,0.0,0.66076237,1.1918976,0.07368055,1.0969379,0.28312132,0.0,0.11694582,0.009745786,0.5723369,0.0,0.15098551,0.3810678,0.44696692,0.0,0.15801516,0.04094526,0.0,0.032820813,0.18621317,0.0,0.4624756,0.18571429,0.6271941,0.0,0.0,0.0,0.6340698,0.0,0.0,0.0,0.33976108,0.20282318,0.0,0.0,0.0,0.0031579998,0.0,0.63752437,0.30684742,0.0,0.0
