Image_Index,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31
61,4.446925,0.0,2.15216,0.0,4.879787,0.44331944,0.0,0.0,1.5452394,0.0,2.130949,0.2126067,3.7190242,1.4752386,0.9025764,3.1266286,1.3933777,0.0,0.0,0.6074684,0.0,1.4495847,0.50338745,0.9834266,0.45446947,5.362773,4.593574,0.910908,4.436316,0.0,6.3654704,3.4427326
84,3.4418545,0.0,2.3607674,0.0,3.449252,1.4529164,0.1476485,0.0,1.4794902,0.0,0.0,0.94707984,5.6328845,0.98963606,0.0,4.0276713,0.11065526,0.0,0.0,1.2914834,0.0,0.0,2.6697483,0.6303343,2.7024071,4.5170364,4.480344,2.4714675,4.112992,0.0,8.37813,6.4700003
110,4.3554597,0.0,1.1888475,0.0,4.131417,0.0,0.0,0.0,1.8904709,0.0,1.1213676,0.052523777,5.268337,0.0,0.0039568692,2.1391132,0.8830621,0.0,0.0,0.0,0.0,1.1682215,0.026379049,0.7131598,1.2698771,4.876417,5.155494,1.1769203,2.578205,0.0,6.3756356,5.0622826
128,6.631366,0.0,1.3496258,0.0,5.0446825,0.25416282,0.0,0.0,0.90180063,0.0,2.4766777,0.16488089,3.9586315,0.0,0.29891098,2.6332355,0.0,0.0,0.0,0.0,0.0,0.4176541,1.4352393,1.123338,1.8192836,6.3064747,5.167246,0.6371486,4.8040357,0.0,7.1600485,4.7769175
134,5.20516,0.0,2.0116313,0.0,3.6262188,0.019840859,0.0,0.0,0.94173205,0.0,0.64535284,0.22108495,5.0895505,0.0,0.0,2.3843594,0.0,0.0,0.0,0.0,0.0,0.0,0.9632554,0.4332076,2.2247953,5.0093102,3.5807328,0.36155155,3.2354546,0.0,7.2071633,5.759463
146,5.082316,0.0,1.7862031,0.0,4.1809196,0.45103356,0.0,0.0,1.577218,0.0,1.0586478,0.3397379,5.002615,1.1838785,0.07722264,3.756143,0.25766703,0.0,0.0,0.0,0.0,0.0,1.6945134,0.83586705,1.9101814,5.403072,4.5108147,0.71389,4.151503,0.0,7.1201596,4.962547
177,4.0973573,0.0,0.9164538,0.0,2.8839047,0.5515609,0.0,0.0,3.098305,0.0,1.6179338,0.0,3.874951,0.55130154,0.19630612,2.4065394,0.3519143,0.0,0.0,0.086453676,0.0,0.22394603,1.3851645,0.9941217,1.354271,4.203082,5.5838027,2.566618,2.4329536,0.0,4.8754663,5.710605
179,4.0288386,0.0,2.1425478,0.0,4.2943745,0.0,0.0,0.0,1.7508286,0.0,0.88181263,0.0,5.4382334,1.1416352,0.0,3.3497167,0.74601775,0.0,0.0,0.554684,0.0,0.5842456,0.4732271,0.3587743,1.8379034,5.059854,3.9554465,0.4894216,3.3586187,0.0,7.3751388,5.3094683
181,4.1349955,0.0,1.8053037,0.0,2.7808726,0.13239545,0.0,0.0,2.4614866,0.0,0.62728286,0.0,5.1277585,0.473828,0.0,2.3484857,0.12983523,0.0,0.0,0.5294094,0.0,0.0,0.87567365,0.65272427,1.9305414,5.101189,4.3700805,1.4973398,1.8820348,0.0,6.496661,5.9987636
184,4.638589,0.0,1.719877,0.0,2.9492044,0.0,0.0,0.0,1.8454438,0.0,0.81743383,0.0193825,4.5928288,0.0,0.021079049,1.7464856,0.0,0.0,0.0,0.07631478,0.0,0.6925871,0.7082994,0.435584,2.0833757,3.8244798,3.9853914,1.5864483,2.499152,0.0,5.881837,5.8900394
226,5.366893,0.0,1.6357489,0.0,4.5293303,0.14342183,0.007325927,0.0,1.5081401,0.0,1.9337788,0.4400901,3.6020532,0.10896272,0.0,3.6592238,0.0,0.0,0.0,0.0,0.0,0.0,2.0661514,0.42618263,2.1728396,4.4993973,4.5241733,0.94396245,5.162807,0.0,6.7554145,3.9885411
232,4.7234855,0.0,2.1395347,0.0,2.4344952,0.93457544,0.0,0.0,2.3444324,0.0,1.0888819,0.0,4.6316175,1.2450079,0.5728476,2.925982,0.40905133,0.0,0.0,1.1786498,0.0,0.0,2.0486856,0.74823654,2.282449,5.2751365,4.0985794,1.7511586,2.2378495,0.0,6.018044,7.6063595
233,6.56874,0.0,0.376745,0.0,5.4235473,0.20639053,0.060294904,0.0,2.0603878,0.0,3.9769983,0.003816571,2.060533,1.4846772,0.85822064,4.0194106,0.44745782,0.0,0.0,0.0,0.0,0.77097255,1.927042,0.92686707,0.4672974,5.7280183,5.917563,0.0,5.7751303,0.0,4.3368416,1.8856293
242,3.0157254,0.0,0.5070496,0.0,3.5313697,0.0050170342,0.0,0.0,2.93173,0.0,1.2230271,0.25710824,5.1090446,2.0235455,0.0,4.051639,1.0033704,0.0,0.0,0.0,0.0,0.0,0.9476825,0.59226304,0.87975085,5.4310837,5.39957,0.90708643,2.6662934,0.0,5.660755,3.6899216
257,3.3396745,0.0,3.873746,0.0,2.4555588,0.07150184,0.0,0.0,1.6369128,0.0,0.2879163,0.0,4.2318435,1.3502405,0.09885589,1.7024497,0.5241817,0.0,0.0,1.6848121,0.0,1.9299903,0.0,0.0,2.0907702,3.1348562,2.089931,1.0942194,2.6982636,0.0,6.643963,4.964923
260,4.8311653,0.0,2.2995498,0.0,4.490901,0.0,0.0,0.0,1.0483325,0.0,1.0277929,0.16786918,5.3901777,1.6036866,0.331141,4.0148525,0.63013566,0.0,0.0,0.4643465,0.0,0.0,1.2607006,0.19141267,1.9649205,5.5224175,3.3494582,0.0,4.0979395,0.0,7.3712516,5.65035
266,3.7392843,0.0,1.3072639,0.0,1.7047907,0.28462246,0.0,0.0,3.5767064,0.0,0.93064857,0.0,4.7504387,1.598815,0.17137553,2.2446296,0.7815945,0.0,0.0,0.42580053,0.0,0.32752305,1.0569783,0.54543144,1.6054494,4.110086,4.7497373,2.1017013,0.90086627,0.0,4.344494,6.8219323
268,3.6172018,0.0,0.40449005,0.0,4.3292537,0.31361988,0.0,0.0,3.0667698,0.0,1.9398302,0.0,4.2784214,1.2568907,0.48205286,3.6052077,1.3224924,0.0,0.0,0.20920897,0.0,0.04789698,1.6396933,1.5626357,0.37209633,5.2282004,6.51443,2.633149,2.784368,0.0,5.139601,5.28818
277,3.9281044,0.0,1.0065163,0.0,3.2284598,0.55604506,0.0,0.0,3.1542075,0.0,1.3661661,0.15891972,4.7626486,0.9577874,0.0,3.273628,0.0,0.0,0.0,0.0,0.0,0.0,1.3780968,0.73181736,1.4224066,5.7415085,5.5610538,1.625308,2.8846443,0.0,6.2707696,3.65443
290,3.9245162,0.0,1.4377029,0.0,3.6542451,3.0850499,0.5243327,0.0,1.6010184,0.0,0.6357784,1.878672,3.9061513,0.0,0.0,2.8290079,0.0,0.0,0.0,0.14519042,0.0,0.0,3.327162,1.6178507,1.9255507,4.1545963,5.9615183,4.633177,5.037461,0.0,7.4656754,4.077175
