Image_Index,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49,node_50,node_51,node_52,node_53,node_54,node_55,node_56,node_57,node_58,node_59,node_60,node_61,node_62,node_63
7,0,0.111481406,1.543498,0,2.5328991,0,1.5513018,0.8884697,1.0855241,0.077718094,0,0,1.0269225,0.6544099,0.9268237,2.9286501,0,1.467383,2.1816642,0.90524703,0.61836404,2.0262241,1.0804822,0.7176155,1.1308801,0.48012635,0,0.33440015,0,0,0,1.5138772,0,1.613355,1.4512649,0.6830848,0.70641637,0.9563641,0,0.78351766,0.44349074,0,0.5592258,0,0.6991507,0.9869583,3.2601852,1.1264274,3.236173,0.14335954,3.4618359,0,0,1.001596,0,0.67747027,0.9364375,0.68872434,0.40850624,0.8519993,1.8248585,0,0.36138475,2.6479087
9,0,0,1.8363229,0,2.4638314,0,1.3203752,0.9387902,0.8013085,0.22000165,0,0,0.9042475,0.9102722,0.26488793,3.512378,0,1.6927965,2.3425865,1.0098125,0.21270636,1.8181783,0.83011144,0.7333477,1.3633995,0.75810385,0,0.36303172,0,0,0,0.81610644,0,1.5724525,1.0692837,1.0271649,0.87263936,1.0581627,0,1.2472267,0.33448434,0.0879649,0.5132223,0,0,1.1474488,2.4567316,1.562291,3.5174966,0,4.177274,0,0,0.60852206,0,0,1.9909745,0.46260136,1.0557314,0.75028914,1.7925941,0,0.16090314,3.4436312
12,0,0.2989651,1.554334,0,2.5606196,0,1.3092945,1.2544105,0.98223066,0.038844407,0,0,0.9093388,1.0520427,0.75831705,3.82199,0,1.7984943,2.3045528,0.85344225,0.23937894,2.0567617,1.0712107,0.5199771,1.0160888,0,0,0.94518393,0,0,0,1.2118279,0,1.8042314,1.3455683,0.7889063,0.37619713,0.5527578,0,0.7143561,0.2633582,0.04065642,0.2116419,0,0,0.9508764,3.303178,1.8428502,4.678748,0.23397677,4.085694,0,0,1.0079596,0,0.2668864,1.5306344,0.35661396,0.6137362,0.84733933,1.4400057,0,0.44813055,3.8983743
16,0,0.18245575,1.3559895,0,2.7828114,0,1.3451744,0.93950486,0.9889741,0.2524065,0,0,1.0988696,1.2996354,0.31493282,3.5964,0,1.8989018,2.643547,0.76424485,0.4962433,1.657724,1.1168588,1.1294688,1.3252258,0.17850713,0,0.7496716,0,0,0,1.2955654,0,1.5226501,1.6158223,1.1069453,0.9980788,0.71200603,0,1.1418829,0.7882231,0,0.380218,0,0,1.4032842,2.8652956,1.9586531,4.0280232,0,4.2846375,0,0,0.5189958,0,0.32350564,1.7302297,0.51381093,1.3119583,0.45707774,1.6027226,0,0.34554723,3.6251953
20,0,0.66840434,1.7378002,0,1.6377662,0,1.1616594,1.7087904,0.71505916,0,0,0,1.1175941,1.0084862,0.47280216,3.0622833,0,1.9354695,1.6781765,0.55708665,0.20284306,1.7824932,1.1171834,0.34209314,0.6783267,0,0,0.87261736,0.57035667,0,0,0.9984638,0,1.1742743,0.78743756,0.06799879,0.38672006,0.37859157,0,0.6298211,0.237986,0.62373036,0,0,0,0.4409169,2.4077134,0.8121124,3.8839219,0.36356112,3.5671735,0,0,0.7773199,0,0.027437977,2.14528,0,0.19027127,0.53853923,0.60066813,0,0.34643686,3.9659815
58,0,0.15793587,1.7028697,0,2.5118866,0,1.2839675,1.082944,1.0607129,0.17681167,0,0,0.8800503,1.1588175,0.47166505,3.7312047,0,1.5201974,2.2440934,0.9485524,0.3441274,1.8345877,1.0264602,0.4155259,0.9288555,0.00117955,0,0.70037323,0,0,0,1.0988821,0,1.872651,1.1907272,0.7416832,0.7147007,0.73056495,0,0.76613814,0.57297677,0,0.19014236,0,0.13208462,1.2269447,3.098566,1.6055287,4.4861217,0.081283905,4.1203628,0,0,1.0483803,0,0.30447313,1.7491188,0.47434038,0.8146365,0.90165955,1.6269995,0,0.40484086,3.623352
62,0,0.074791305,1.8829376,0,1.9984908,0,1.3475341,1.2798353,1.1792821,0.42674643,0,0,1.0708368,1.0023303,0.6162191,2.6870556,0,1.7352785,2.1974828,0.41656032,0.61482567,2.0903063,0.90388626,1.2539732,1.4859858,0.6726035,0,0.49771994,0.11429533,0,0,0.8574707,0,1.3218578,1.0702623,0.8090338,0.8780568,0.7978691,0,0.9007563,0.67012215,0,0.088242345,0,0,1.0213664,2.7172263,1.4021385,3.8755984,0,4.357087,0,0,0.77910167,0,0,1.4119653,0.4241677,1.1417092,0.45460117,1.34876,0,0.31401038,3.1734917
73,0,0,2.130797,0,2.1254427,0,0.755726,1.3298055,0.23574135,0.01236665,0,0,0.70999455,1.0975397,0.18945903,2.9675484,0,0.76367605,1.478455,1.0208079,0.07941872,1.6614819,0.9624651,0.3841231,0.6157958,0,0,0.29562098,0,0,0,0.67418516,0,1.1946101,1.2049774,0.786059,0.55242825,0.9663392,0,1.4843216,0.2098108,0.16769516,0.65109706,0,0,0.7511612,1.6635677,1.0029305,2.417223,0,3.116432,0,0,0,0,0.4210069,1.9607384,0.4514532,0.32554293,0.5938993,1.4793125,0,0.11398863,3.0195289
78,0,0.042531107,1.5554758,0,1.7335913,0,1.0971149,0.9798819,0.30027983,0.13550937,0,0,0.77854896,0.20402382,0.31507224,2.3009298,0,1.4746666,1.3347368,0.6922339,0.17682987,2.0552256,0.59115964,0.35083106,0.88119674,0.31555682,0,0.3244947,0,0,0,0.651513,0,1.4783279,0.7504857,0.42387015,0.4674784,0.7463069,0,0.98452353,0,0.05300756,0.33720744,0,0,0.35470778,2.006556,0.88643956,2.2820065,0.2538896,3.143116,0,0,0.5600674,0,0.17556757,1.4065037,0.32960683,0.10587559,1.0294728,1.4322879,0,0.22920267,2.8883603
92,0,0.28650093,1.4238583,0,2.0989654,0,1.3103303,0.71022594,0.65337425,0.27970326,0,0,0.66863143,0.0753904,0.26302984,2.4407701,0,1.3904575,1.8351272,0.83365816,0.067336574,1.8541142,0.6175365,0.2948438,1.0612876,0.75103074,0,0.3775954,0,0,0,0.48037487,0,1.2193322,0.6081755,0.4749307,0.8261884,0.9183719,0,0.44078165,0.005758802,0,0.4797996,0,0.42991737,0.6215143,1.7506449,0.8035972,2.8492234,0,3.5904567,0,0,0.8968973,0,0.02074784,1.4536119,0.42104027,0.6089587,1.1264671,1.1386495,0,0.22576733,2.8987014
99,0,0,1.6817812,0,2.9258301,0,1.3808161,1.429544,1.0937545,0.30774847,0,0,1.1468148,1.5507314,0.42476627,3.917063,0,1.555343,2.4361064,0.8666269,0.5673252,1.9049158,1.2844961,0.98856723,1.1449221,0.0678422,0,0.5903488,0,0,0,1.3755451,0,1.7795863,1.8761996,1.2663014,0.7048854,0.8596348,0,1.4727793,0.6591531,0,0.35505727,0,0,1.4573008,3.3279784,1.9674414,3.973957,0,4.0503154,0,0,0.13643788,0,0.5120815,1.7822043,0.6199316,0.9809984,0.4036196,1.9526463,0,0.27076888,3.6485713
104,0,0.13363907,1.3487608,0,1.839723,0,1.2464801,1.2692735,1.3886237,0.28289628,0,0,1.1306539,1.1733675,1.2736353,2.63053,0,1.7795259,1.8266492,0.16186371,0.9742459,2.1824129,1.0001861,1.0900135,1.3241948,0.43034297,0,0.6119076,0.717418,0,0,1.0697207,0,1.6201473,1.2964427,0.6801278,0.34715986,0.4637821,0,0.46706077,0.6374787,0,0,0,0,1.0103493,3.4412453,1.8024877,4.090617,0.3147095,3.4685032,0,0,1.0361882,0,0.13195935,0.9143766,0.42237222,0.771042,0.063117296,1.5783852,0,0.5915686,2.7053525
105,0,0.033937756,2.0166287,0,2.333731,0,1.0427254,1.5109216,1.4177477,0.10056245,0,0,0.916936,1.864706,0.9703258,3.8914309,0,1.2498102,1.899792,0.9390807,0.76954114,2.0456896,1.308585,0.5415095,0.5985277,0,0,0.6754571,0,0,0,1.2841296,0,1.9888432,1.6931183,0.76043886,0.12633744,0.6251835,0,0.68144023,0.7029928,0,0,0,0.01878218,1.2092953,3.6162596,2.027863,4.964462,0.30459428,3.9387825,0,0,0.8858224,0,0.5262795,1.5939542,0.41940305,0.53051955,0.39236152,1.8241122,0,0.90878284,3.6190326
108,0,0.030592266,0.6704307,0,2.4054654,0,1.3157952,0.7818649,0.80462456,0.09065126,0,0,0.9558341,0.5393093,0.60197985,3.0900896,0,1.9123724,2.2181282,0.74755436,0.051379852,1.563522,0.89436865,0.80848086,1.333379,0,0,0.73956573,0.038120635,0,0,1.0972382,0,1.6138821,1.1035352,0.8152755,0.7489815,0.48421568,0,0.98627853,0.18406323,0,0.5849633,0,0.084900595,0.7941433,3.002096,1.6002877,3.3644648,0,3.493703,0,0,0.60863763,0,0.16565612,0.90259343,0.57122207,0.5504475,0.9393226,1.4492531,0,0,2.998341
113,0,0,1.5136485,0,2.488273,0,1.2463919,1.1432223,1.0553131,0.12656464,0,0,0.8989932,1.1218057,0.7565183,3.7210634,0,1.3091725,2.2462475,1.1197655,0.36623028,1.8595297,1.1031408,0.71003807,0.86828125,0,0,0.566967,0,0,0,1.2378818,0,1.7827055,1.7365792,0.9076553,0.4202734,0.60357064,0,1.0658711,0.43606344,0,0.36833924,0,0.16841331,1.0820744,3.4024587,2.1094906,3.9525454,0.23172207,3.844081,0,0,0.6458919,0,0.66264874,1.1941345,0.51081145,0.49238175,0.6404903,2.1094472,0,0.39476013,3.2688775
118,0,0.23609787,1.5029229,0,1.9721817,0,1.1670717,1.092083,0.80799246,0.15528625,0,0,1.0393136,0.86296713,0.5524489,3.069959,0,1.6415172,1.8388637,0.59516,0.37976143,1.9807849,0.91894543,0.58253855,1.1484895,0,0,0.7236918,0,0,0,0.92481285,0,1.6402797,1.0691279,0.5879572,0.34518868,0.4452978,0,0.66787946,0.36789477,0.027046029,0.03603087,0,0,0.6307641,2.7736628,1.6494017,3.8540764,0.32858464,3.7918253,0,0,0.78163904,0,0.3330361,1.3855987,0.25615042,0.63755286,0.5637832,1.4465222,0,0.3625283,3.2488713
125,0,0,1.3397089,0,2.3264384,0,1.229171,0.44196954,0.9878135,0.17125872,0,0,0.8120619,0.87812644,0.7710285,2.7601926,0,1.5037693,2.1307728,0.9856854,0.7062201,1.8844284,0.6499535,0.9438873,1.1967483,0.5767801,0,0.32023346,0,0,0,1.2185322,0,1.9733888,1.4566593,0.92724705,1.0354208,0.7360165,0,1.237976,1.0665029,0,0.49051833,0,0.7988013,1.3732079,2.6556873,2.031139,3.1449242,0.09040483,3.7691464,0,0.15767413,0.82045734,0,1.0388333,1.0000329,0.70432335,0.96942264,0.73920673,2.2985897,0,0.5739515,2.061641
150,0,0,1.2082261,0,2.8371801,0,1.3891217,0.9674643,1.2088294,0.45137757,0,0,1.0031574,1.2202871,0.7585863,3.58156,0,1.7020657,2.5333965,0.80413926,0.52976376,1.9910163,1.0327227,1.2178035,1.419655,0.2547199,0,0.7578545,0,0,0,1.3024601,0,1.8371326,1.7698829,1.2722517,0.78098947,0.62055826,0,1.2632043,0.8373981,0,0.47040737,0,0,1.4994551,3.6899414,2.352718,4.083608,0,4.106226,0,0.016776783,0.46890044,0,0.47631055,1.201213,0.7074669,1.0662028,0.4299351,2.273206,0,0.31420398,3.0883946
151,0,0.46494335,2.1206887,0,1.4399962,0,0.55549175,1.7308257,0.86591625,0.683638,0,0,1.1181957,2.4315753,1.1613115,1.7720791,0,1.5246942,1.7144302,0,1.7087047,1.6577299,0.8289808,1.9257338,1.34715,0.6050035,0,0.60611486,0.5053103,0,0,1.1690266,0,1.6123139,1.1616532,0.74104047,0.8391206,0.37153646,0,1.1707017,2.118011,0,0,0,0,1.8758644,2.5778666,2.339927,3.6527224,0.27469486,3.9356039,0,0,0.6357125,0,0.5863213,1.9622686,0.38885906,1.738667,0,1.829629,0,1.0677668,2.1980333
